cancel_id,order_item_id,order_id,cancelled_at_utc,cancelled_before_ship_flag,reason_code,reason_desc,cancelled_qty,actor,category_l1,seller_id,fiscal_week
C-90001,OI-50001,US-2026-10001,2026-07-05 18:00:00,true,BUYER_CANCEL,Buyer cancelled,2,BUYER,Home & Kitchen,S001,2026W28
C-90002,OI-50008,US-2026-10007,2026-07-05 18:00:00,true,PAYMENT_FAIL,Payment failed,2,AMAZON,Pet Supplies,S007,2026W28
C-90003,OI-50012,US-2026-10010,2026-07-29 18:00:00,true,SHIP_LATE_RISK,Cannot meet ship promise,2,SELLER,Pet Supplies,S010,2026W31
C-90004,OI-50015,US-2026-10013,2026-07-05 18:00:00,true,ADDR_INVALID,Invalid ship address,2,BUYER,Home & Kitchen,S001,2026W28
C-90005,OI-50022,US-2026-10019,2026-07-05 18:00:00,true,AMZ_POLICY,Amazon cancelled policy,2,AMAZON,Pet Supplies,S007,2026W28
C-90006,OI-50025,US-2026-10022,2026-07-29 18:00:00,true,BUYER_CANCEL,Buyer cancelled,2,BUYER,Pet Supplies,S010,2026W31
C-90007,OI-50029,US-2026-10025,2026-07-05 18:00:00,true,PRICING_ERROR,Pricing error,2,SELLER,Home & Kitchen,S001,2026W28
C-90021,OI-50002,US-2026-10001,2026-07-20 22:10:00,true,SHIP_LATE_RISK,Cannot meet ship promise,2,SELLER,Home & Kitchen,S001,2026W28
C-90022,OI-50004,US-2026-10003,2026-07-20 22:10:00,true,PRICING_ERROR,Pricing error,1,SELLER,Home & Kitchen,S003,2026W30
C-90023,OI-50006,US-2026-10005,2026-07-20 22:10:00,true,AMZ_POLICY,Amazon cancelled policy,1,AMAZON,Sports & Outdoors,S005,2026W32
C-90024,OI-50010,US-2026-10008,2026-07-20 22:10:00,true,PRICING_ERROR,Pricing error,1,SELLER,Pet Supplies,S008,2026W29
C-90025,OI-50014,US-2026-10012,2026-07-20 22:10:00,true,SHIP_LATE_RISK,Cannot meet ship promise,1,SELLER,Sports & Outdoors,S012,2026W33
C-90026,OI-50016,US-2026-10014,2026-07-20 22:10:00,true,PRICING_ERROR,Pricing error,1,SELLER,Home & Kitchen,S002,2026W29
C-90027,OI-50018,US-2026-10015,2026-07-20 22:10:00,true,AMZ_POLICY,Amazon cancelled policy,1,AMAZON,Home & Kitchen,S003,2026W30
C-90028,OI-50020,US-2026-10017,2026-07-20 22:10:00,true,SHIP_LATE_RISK,Cannot meet ship promise,1,SELLER,Sports & Outdoors,S005,2026W32
C-90029,OI-50024,US-2026-10021,2026-07-20 22:10:00,true,AMZ_POLICY,Amazon cancelled policy,1,AMAZON,Pet Supplies,S009,2026W30
C-90030,OI-50026,US-2026-10022,2026-07-20 22:10:00,true,SHIP_LATE_RISK,Cannot meet ship promise,2,SELLER,Pet Supplies,S010,2026W31
C-90031,OI-50028,US-2026-10024,2026-07-20 22:10:00,true,PRICING_ERROR,Pricing error,1,SELLER,Sports & Outdoors,S012,2026W33
C-90032,OI-50030,US-2026-10026,2026-07-20 22:10:00,true,AMZ_POLICY,Amazon cancelled policy,1,AMAZON,Home & Kitchen,S002,2026W29
C-90033,OI-50032,US-2026-10028,2026-07-20 22:10:00,true,SHIP_LATE_RISK,Cannot meet ship promise,2,SELLER,Sports & Outdoors,S004,2026W31
