fiscal_week,week_start_et,marketplace,category_l1,gmv_usd,orders,source
2026W22,2026-05-24,US,Home & Kitchen,184908800.00,4402590,FIN.MP_US_3P_GMV_WKLY
2026W22,2026-05-24,US,Sports & Outdoors,94041600.00,2239085,FIN.MP_US_3P_GMV_WKLY
2026W22,2026-05-24,US,Pet Supplies,61206400.00,2185942,FIN.MP_US_3P_GMV_WKLY
2026W23,2026-05-31,US,Home & Kitchen,186400000.00,4438095,FIN.MP_US_3P_GMV_WKLY
2026W23,2026-05-31,US,Sports & Outdoors,94800000.00,2257142,FIN.MP_US_3P_GMV_WKLY
2026W23,2026-05-31,US,Pet Supplies,61700000.00,2203571,FIN.MP_US_3P_GMV_WKLY
2026W24,2026-06-07,US,Home & Kitchen,187891200.00,4473600,FIN.MP_US_3P_GMV_WKLY
2026W24,2026-06-07,US,Sports & Outdoors,95558400.00,2275200,FIN.MP_US_3P_GMV_WKLY
2026W24,2026-06-07,US,Pet Supplies,62193600.00,2221200,FIN.MP_US_3P_GMV_WKLY
2026W25,2026-06-14,US,Home & Kitchen,184908800.00,4402590,FIN.MP_US_3P_GMV_WKLY
2026W25,2026-06-14,US,Sports & Outdoors,94041600.00,2239085,FIN.MP_US_3P_GMV_WKLY
2026W25,2026-06-14,US,Pet Supplies,61206400.00,2185942,FIN.MP_US_3P_GMV_WKLY
2026W26,2026-06-21,US,Home & Kitchen,186400000.00,4438095,FIN.MP_US_3P_GMV_WKLY
2026W26,2026-06-21,US,Sports & Outdoors,94800000.00,2257142,FIN.MP_US_3P_GMV_WKLY
2026W26,2026-06-21,US,Pet Supplies,61700000.00,2203571,FIN.MP_US_3P_GMV_WKLY
2026W27,2026-06-28,US,Home & Kitchen,187891200.00,4473600,FIN.MP_US_3P_GMV_WKLY
2026W27,2026-06-28,US,Sports & Outdoors,95558400.00,2275200,FIN.MP_US_3P_GMV_WKLY
2026W27,2026-06-28,US,Pet Supplies,62193600.00,2221200,FIN.MP_US_3P_GMV_WKLY
2026W28,2026-07-05,US,Home & Kitchen,163779200.00,3899504,FIN.MP_US_3P_GMV_WKLY
2026W28,2026-07-05,US,Sports & Outdoors,85510400.00,2035961,FIN.MP_US_3P_GMV_WKLY
2026W28,2026-07-05,US,Pet Supplies,54460800.00,1945028,FIN.MP_US_3P_GMV_WKLY
2026W29,2026-07-12,US,Home & Kitchen,165100000.00,3930952,FIN.MP_US_3P_GMV_WKLY
2026W29,2026-07-12,US,Sports & Outdoors,86200000.00,2052380,FIN.MP_US_3P_GMV_WKLY
2026W29,2026-07-12,US,Pet Supplies,54900000.00,1960714,FIN.MP_US_3P_GMV_WKLY
2026W30,2026-07-19,US,Home & Kitchen,166420800.00,3962400,FIN.MP_US_3P_GMV_WKLY
2026W30,2026-07-19,US,Sports & Outdoors,86889600.00,2068800,FIN.MP_US_3P_GMV_WKLY
2026W30,2026-07-19,US,Pet Supplies,55339200.00,1976400,FIN.MP_US_3P_GMV_WKLY
2026W31,2026-07-26,US,Home & Kitchen,163779200.00,3899504,FIN.MP_US_3P_GMV_WKLY
2026W31,2026-07-26,US,Sports & Outdoors,85510400.00,2035961,FIN.MP_US_3P_GMV_WKLY
2026W31,2026-07-26,US,Pet Supplies,54460800.00,1945028,FIN.MP_US_3P_GMV_WKLY
2026W32,2026-08-02,US,Home & Kitchen,165100000.00,3930952,FIN.MP_US_3P_GMV_WKLY
2026W32,2026-08-02,US,Sports & Outdoors,86200000.00,2052380,FIN.MP_US_3P_GMV_WKLY
2026W32,2026-08-02,US,Pet Supplies,54900000.00,1960714,FIN.MP_US_3P_GMV_WKLY
2026W33,2026-08-09,US,Home & Kitchen,166420800.00,3962400,FIN.MP_US_3P_GMV_WKLY
2026W33,2026-08-09,US,Sports & Outdoors,86889600.00,2068800,FIN.MP_US_3P_GMV_WKLY
2026W33,2026-08-09,US,Pet Supplies,55339200.00,1976400,FIN.MP_US_3P_GMV_WKLY
