order_item_id,order_id,asin,sku,product_title,browse_node_id,category_l1,quantity_ordered,item_price_amt,currency_code,gift_wrap_amt,shipping_amt,tax_amt,is_replacement,seller_id,fulfillment_channel,fiscal_week
OI-50001,US-2026-10001,B0HK001,S001-001,Glass Meal Prep Set,3760911,Home & Kitchen,2,29.99,USD,4.99,5.99,4.35,false,S001,MFN,2026W28
OI-50002,US-2026-10001,B0HK002,S001-002,Chef Knife 8in,3760911,Home & Kitchen,2,29.99,USD,4.99,5.99,4.35,false,S001,MFN,2026W28
OI-50003,US-2026-10002,B0HK001,S002-001,Glass Meal Prep Set,3760911,Home & Kitchen,1,32.99,USD,0.00,0.00,2.39,false,S002,AFN,2026W29
OI-50004,US-2026-10003,B0HK001,S003-001,Glass Meal Prep Set,3760911,Home & Kitchen,1,35.99,USD,0.00,0.00,2.61,false,S003,MFN,2026W30
OI-50005,US-2026-10004,B0SO001,S004-001,Yoga Mat 6mm,3375251,Sports & Outdoors,2,33.50,USD,0.00,0.00,4.86,false,S004,MFN,2026W31
OI-50006,US-2026-10005,B0SO001,S005-001,Yoga Mat 6mm,3375251,Sports & Outdoors,1,36.50,USD,0.00,0.00,2.65,false,S005,AFN,2026W32
OI-50007,US-2026-10006,B0SO001,S006-001,Yoga Mat 6mm,3375251,Sports & Outdoors,1,24.50,USD,0.00,0.00,1.78,false,S006,AFN,2026W33
OI-50008,US-2026-10007,B0PE001,S007-001,Grain-Free Dog Treats,2619533011,Pet Supplies,2,22.99,USD,0.00,0.00,3.33,false,S007,AFN,2026W28
OI-50009,US-2026-10008,B0PE001,S008-001,Grain-Free Dog Treats,2619533011,Pet Supplies,1,25.99,USD,0.00,0.00,1.88,false,S008,MFN,2026W29
OI-50010,US-2026-10008,B0PE002,S008-002,Cat Water Fountain,2619533011,Pet Supplies,1,25.99,USD,0.00,0.00,1.88,false,S008,MFN,2026W29
OI-50011,US-2026-10009,B0PE001,S009-001,Grain-Free Dog Treats,2619533011,Pet Supplies,1,28.99,USD,0.00,0.00,2.10,false,S009,AFN,2026W30
OI-50012,US-2026-10010,B0PE001,S010-001,Grain-Free Dog Treats,2619533011,Pet Supplies,2,31.99,USD,0.00,0.00,4.64,false,S010,MFN,2026W31
OI-50013,US-2026-10011,B0HK001,S011-001,Glass Meal Prep Set,3760911,Home & Kitchen,1,29.99,USD,0.00,0.00,2.17,false,S011,MFN,2026W32
OI-50014,US-2026-10012,B0SO001,S012-001,Yoga Mat 6mm,3375251,Sports & Outdoors,1,27.50,USD,4.99,0.00,1.99,false,S012,AFN,2026W33
OI-50015,US-2026-10013,B0HK001,S001-001,Glass Meal Prep Set,3760911,Home & Kitchen,2,35.99,USD,0.00,0.00,5.22,false,S001,AFN,2026W28
OI-50016,US-2026-10014,B0HK001,S002-001,Glass Meal Prep Set,3760911,Home & Kitchen,1,38.99,USD,0.00,0.00,2.83,false,S002,AFN,2026W29
OI-50017,US-2026-10015,B0HK001,S003-001,Glass Meal Prep Set,3760911,Home & Kitchen,1,41.99,USD,0.00,0.00,3.04,false,S003,MFN,2026W30
OI-50018,US-2026-10015,B0HK002,S003-002,Chef Knife 8in,3760911,Home & Kitchen,1,41.99,USD,0.00,0.00,3.04,false,S003,MFN,2026W30
OI-50019,US-2026-10016,B0SO001,S004-001,Yoga Mat 6mm,3375251,Sports & Outdoors,2,24.50,USD,0.00,0.00,3.55,false,S004,AFN,2026W31
OI-50020,US-2026-10017,B0SO001,S005-001,Yoga Mat 6mm,3375251,Sports & Outdoors,1,27.50,USD,0.00,0.00,1.99,false,S005,AFN,2026W32
OI-50021,US-2026-10018,B0SO001,S006-001,Yoga Mat 6mm,3375251,Sports & Outdoors,1,30.50,USD,0.00,0.00,2.21,false,S006,MFN,2026W33
OI-50022,US-2026-10019,B0PE001,S007-001,Grain-Free Dog Treats,2619533011,Pet Supplies,2,28.99,USD,0.00,0.00,4.20,false,S007,AFN,2026W28
