order_id,marketplace_id,country_code,seller_id,order_datetime_utc,fulfillment_channel,is_business_order,order_status,ship_promise_datetime_utc,fiscal_week,week_start_et
US-2026-10001,ATVPDKIKX0DER,US,S001,2026-07-05 15:00:00,MFN,false,SHIPPED,2026-07-08 20:00:00,2026W28,2026-07-05
US-2026-10002,ATVPDKIKX0DER,US,S002,2026-07-13 15:00:00,AFN,false,SHIPPED,2026-07-15 20:00:00,2026W29,2026-07-12
US-2026-10003,ATVPDKIKX0DER,US,S003,2026-07-21 15:00:00,MFN,false,SHIPPED,2026-07-24 20:00:00,2026W30,2026-07-19
US-2026-10004,ATVPDKIKX0DER,US,S004,2026-07-29 15:00:00,MFN,false,SHIPPED,2026-08-01 20:00:00,2026W31,2026-07-26
US-2026-10005,ATVPDKIKX0DER,US,S005,2026-08-06 15:00:00,AFN,false,SHIPPED,2026-08-08 20:00:00,2026W32,2026-08-02
US-2026-10006,ATVPDKIKX0DER,US,S006,2026-08-14 15:00:00,AFN,false,SHIPPED,2026-08-16 20:00:00,2026W33,2026-08-09
US-2026-10007,ATVPDKIKX0DER,US,S007,2026-07-05 15:00:00,AFN,false,SHIPPED,2026-07-07 20:00:00,2026W28,2026-07-05
US-2026-10008,ATVPDKIKX0DER,US,S008,2026-07-13 15:00:00,MFN,false,SHIPPED,2026-07-16 20:00:00,2026W29,2026-07-12
US-2026-10009,ATVPDKIKX0DER,US,S009,2026-07-21 15:00:00,AFN,false,SHIPPED,2026-07-23 20:00:00,2026W30,2026-07-19
US-2026-10010,ATVPDKIKX0DER,US,S010,2026-07-29 15:00:00,MFN,false,SHIPPED,2026-08-01 20:00:00,2026W31,2026-07-26
US-2026-10011,ATVPDKIKX0DER,US,S011,2026-08-06 15:00:00,MFN,false,SHIPPED,2026-08-09 20:00:00,2026W32,2026-08-02
US-2026-10012,ATVPDKIKX0DER,US,S012,2026-08-14 15:00:00,AFN,false,SHIPPED,2026-08-16 20:00:00,2026W33,2026-08-09
US-2026-10013,ATVPDKIKX0DER,US,S001,2026-07-05 15:00:00,AFN,false,SHIPPED,2026-07-07 20:00:00,2026W28,2026-07-05
US-2026-10014,ATVPDKIKX0DER,US,S002,2026-07-13 15:00:00,AFN,false,SHIPPED,2026-07-15 20:00:00,2026W29,2026-07-12
US-2026-10015,ATVPDKIKX0DER,US,S003,2026-07-21 15:00:00,MFN,false,SHIPPED,2026-07-24 20:00:00,2026W30,2026-07-19
US-2026-10016,ATVPDKIKX0DER,US,S004,2026-07-29 15:00:00,AFN,false,SHIPPED,2026-07-31 20:00:00,2026W31,2026-07-26
US-2026-10017,ATVPDKIKX0DER,US,S005,2026-08-06 15:00:00,AFN,false,SHIPPED,2026-08-08 20:00:00,2026W32,2026-08-02
US-2026-10018,ATVPDKIKX0DER,US,S006,2026-08-14 15:00:00,MFN,false,SHIPPED,2026-08-17 20:00:00,2026W33,2026-08-09
US-2026-10019,ATVPDKIKX0DER,US,S007,2026-07-05 15:00:00,AFN,false,SHIPPED,2026-07-07 20:00:00,2026W28,2026-07-05
US-2026-10020,ATVPDKIKX0DER,US,S008,2026-07-13 15:00:00,MFN,false,SHIPPED,2026-07-16 20:00:00,2026W29,2026-07-12
US-2026-10021,ATVPDKIKX0DER,US,S009,2026-07-21 15:00:00,MFN,false,SHIPPED,2026-07-24 20:00:00,2026W30,2026-07-19
US-2026-10022,ATVPDKIKX0DER,US,S010,2026-07-29 15:00:00,MFN,false,SHIPPED,2026-08-01 20:00:00,2026W31,2026-07-26
US-2026-10023,ATVPDKIKX0DER,US,S011,2026-08-06 15:00:00,AFN,false,SHIPPED,2026-08-08 20:00:00,2026W32,2026-08-02
US-2026-10024,ATVPDKIKX0DER,US,S012,2026-08-14 15:00:00,AFN,false,SHIPPED,2026-08-16 20:00:00,2026W33,2026-08-09
US-2026-10025,ATVPDKIKX0DER,US,S001,2026-07-05 15:00:00,AFN,false,SHIPPED,2026-07-07 20:00:00,2026W28,2026-07-05
US-2026-10026,ATVPDKIKX0DER,US,S002,2026-07-13 15:00:00,MFN,false,SHIPPED,2026-07-16 20:00:00,2026W29,2026-07-12
US-2026-10027,ATVPDKIKX0DER,US,S003,2026-07-21 15:00:00,MFN,false,SHIPPED,2026-07-24 20:00:00,2026W30,2026-07-19
US-2026-10028,ATVPDKIKX0DER,US,S004,2026-07-29 15:00:00,MFN,false,SHIPPED,2026-08-01 20:00:00,2026W31,2026-07-26
