fiscal_week,week_start_et,marketplace,category_l1,cancel_rate,cancelled_items,ordered_items,source
2026W22,2026-05-24,US,Home & Kitchen,0.0320,197236,6163626,SP.US_CANCEL_WKLY
2026W22,2026-05-24,US,Sports & Outdoors,0.0290,90906,3134719,SP.US_CANCEL_WKLY
2026W22,2026-05-24,US,Pet Supplies,0.0380,116292,3060318,SP.US_CANCEL_WKLY
2026W23,2026-05-31,US,Home & Kitchen,0.0320,198826,6213333,SP.US_CANCEL_WKLY
2026W23,2026-05-31,US,Sports & Outdoors,0.0290,91639,3159998,SP.US_CANCEL_WKLY
2026W23,2026-05-31,US,Pet Supplies,0.0380,117229,3084999,SP.US_CANCEL_WKLY
2026W24,2026-06-07,US,Home & Kitchen,0.0320,200417,6263040,SP.US_CANCEL_WKLY
2026W24,2026-06-07,US,Sports & Outdoors,0.0290,92373,3185280,SP.US_CANCEL_WKLY
2026W24,2026-06-07,US,Pet Supplies,0.0380,118167,3109680,SP.US_CANCEL_WKLY
2026W25,2026-06-14,US,Home & Kitchen,0.0320,197236,6163626,SP.US_CANCEL_WKLY
2026W25,2026-06-14,US,Sports & Outdoors,0.0290,90906,3134719,SP.US_CANCEL_WKLY
2026W25,2026-06-14,US,Pet Supplies,0.0380,116292,3060318,SP.US_CANCEL_WKLY
2026W26,2026-06-21,US,Home & Kitchen,0.0320,198826,6213333,SP.US_CANCEL_WKLY
2026W26,2026-06-21,US,Sports & Outdoors,0.0290,91639,3159998,SP.US_CANCEL_WKLY
2026W26,2026-06-21,US,Pet Supplies,0.0380,117229,3084999,SP.US_CANCEL_WKLY
2026W27,2026-06-28,US,Home & Kitchen,0.0320,200417,6263040,SP.US_CANCEL_WKLY
2026W27,2026-06-28,US,Sports & Outdoors,0.0290,92373,3185280,SP.US_CANCEL_WKLY
2026W27,2026-06-28,US,Pet Supplies,0.0380,118167,3109680,SP.US_CANCEL_WKLY
2026W28,2026-07-05,US,Home & Kitchen,0.0490,267505,5459305,SP.US_CANCEL_WKLY
2026W28,2026-07-05,US,Sports & Outdoors,0.0440,125415,2850345,SP.US_CANCEL_WKLY
2026W28,2026-07-05,US,Pet Supplies,0.0560,152490,2723039,SP.US_CANCEL_WKLY
2026W29,2026-07-12,US,Home & Kitchen,0.0490,269663,5503332,SP.US_CANCEL_WKLY
2026W29,2026-07-12,US,Sports & Outdoors,0.0440,126426,2873332,SP.US_CANCEL_WKLY
2026W29,2026-07-12,US,Pet Supplies,0.0560,153719,2744999,SP.US_CANCEL_WKLY
2026W30,2026-07-19,US,Home & Kitchen,0.0490,271820,5547360,SP.US_CANCEL_WKLY
2026W30,2026-07-19,US,Sports & Outdoors,0.0440,127438,2896320,SP.US_CANCEL_WKLY
2026W30,2026-07-19,US,Pet Supplies,0.0560,154949,2766960,SP.US_CANCEL_WKLY
2026W31,2026-07-26,US,Home & Kitchen,0.0490,267505,5459305,SP.US_CANCEL_WKLY
2026W31,2026-07-26,US,Sports & Outdoors,0.0440,125415,2850345,SP.US_CANCEL_WKLY
2026W31,2026-07-26,US,Pet Supplies,0.0560,152490,2723039,SP.US_CANCEL_WKLY
2026W32,2026-08-02,US,Home & Kitchen,0.0490,269663,5503332,SP.US_CANCEL_WKLY
2026W32,2026-08-02,US,Sports & Outdoors,0.0440,126426,2873332,SP.US_CANCEL_WKLY
2026W32,2026-08-02,US,Pet Supplies,0.0560,153719,2744999,SP.US_CANCEL_WKLY
2026W33,2026-08-09,US,Home & Kitchen,0.0490,271820,5547360,SP.US_CANCEL_WKLY
2026W33,2026-08-09,US,Sports & Outdoors,0.0440,127438,2896320,SP.US_CANCEL_WKLY
2026W33,2026-08-09,US,Pet Supplies,0.0560,154949,2766960,SP.US_CANCEL_WKLY
